title,year,All Intl,Total Gross,USA,"Europe, Middle East, and Africa",Latin America,Asia Pacific,China
1941,1979,60700000,92455742,31755742,no data,no data,no data,no data
The Amityville Horror,1979,0,86432000,86432000,no data,no data,no data,no data
Rocky II,1979,0,85182160,85182160,no data,no data,no data,no data
Star Trek: The Motion Picture,1979,0,82258456,82258456,no data,no data,no data,no data
Apocalypse Now,1979,0,78784010,78784010,no data,no data,no data,no data
10,1979,0,74865517,74865517,no data,no data,no data,no data
The Jerk,1979,0,73691419,73691419,no data,no data,no data,no data
The Muppet Movie,1979,0,65200000,65200000,no data,no data,no data,no data
The Electric Horseman,1979,0,61801971,61801971,no data,no data,no data,no data
The China Syndrome,1979,0,51718367,51718367,no data,no data,no data,no data
Meatballs,1979,0,43046003,43046003,no data,no data,no data,no data
Escape from Alcatraz,1979,0,43000000,43000000,no data,no data,no data,no data
The Main Event,1979,0,42800000,42800000,no data,no data,no data,no data
Manhattan,1979,0,39946780,39946780,0,no data,no data,no data
All That Jazz,1979,0,37823676,37823676,no data,no data,no data,no data
The Black Stallion,1979,0,37799643,37799643,no data,no data,no data,no data
The Black Hole,1979,0,35841901,35841901,no data,no data,no data,no data
Starting Over,1979,0,35649012,35649012,no data,no data,no data,no data
And Justice for All,1979,0,33300000,33300000,no data,no data,no data,no data
The Champ,1979,0,30441738,30441738,no data,no data,no data,no data
Being There,1979,0,30177511,30177511,no data,no data,no data,no data
The Rose,1979,0,29174648,29174648,no data,no data,no data,no data
Going in Style,1979,0,26869286,26869286,no data,no data,no data,no data
North Dallas Forty,1979,0,26079312,26079312,no data,no data,no data,no data
The Warriors,1979,0,22490039,22490039,no data,no data,no data,no data
Norma Rae,1979,0,22228000,22228000,no data,no data,no data,no data
Buck Rogers in the 25th Century,1979,0,21671241,21671241,no data,no data,no data,no data
National Lampoon's Animal House,1979,0,21508877,21508877,no data,no data,no data,no data
The Apple Dumpling Gang Rides Again,1979,0,20931111,20931111,no data,no data,no data,no data
La Cage aux Folles,1979,0,20424259,20424259,no data,no data,no data,no data
Dracula,1979,0,20158970,20158970,no data,no data,no data,no data
When a Stranger Calls,1979,0,20149106,20149106,no data,no data,no data,no data
"Same Time, Next Year",1979,0,19703082,19703082,no data,no data,no data,no data
