title,year,All Intl,Total Gross,USA,"Europe, Middle East, and Africa",Latin America,Asia Pacific,China
The Pirates of Penzance,1983,0,694497,694497,no data,no data,no data,no data
Daniel,1983,0,687475,687475,no data,no data,no data,no data
Poltergeist,1983,0,536108,536108,no data,no data,no data,no data
Streamers,1983,0,378452,378452,no data,no data,no data,no data
Britannia Hospital,1983,0,375713,375713,no data,no data,no data,no data
Boarding School,1983,0,306061,306061,no data,no data,no data,no data
Heart Like a Wheel,1983,0,272278,272278,no data,no data,no data,no data
Puberty Blues,1983,0,237000,237000,no data,no data,no data,no data
The Girl with the Red Hair,1983,0,39001,39001,no data,no data,no data,no data
Rock & Rule,1983,0,30379,30379,no data,no data,no data,no data
Indiana Jones and the Temple of Doom,1984,153237000,333107271,179870271,no data,no data,no data,no data
Beverly Hills Cop,1984,81600000,316360478,234760478,13207073,3918377,7729887,no data
Ghostbusters,1984,53000000,282242989,229242989,no data,no data,no data,no data
Gremlins,1984,0,148168459,148168459,no data,no data,no data,no data
The Karate Kid,1984,0,90815558,90815558,no data,no data,no data,no data
Romancing the Stone,1984,10000000,86572238,76572238,no data,no data,no data,no data
Police Academy,1984,0,81198894,81198894,no data,no data,no data,no data
Footloose,1984,0,80035402,80035402,no data,no data,no data,no data
The Terminator,1984,40000000,78371200,38371200,no data,no data,no data,no data
Star Trek III: The Search for Spock,1984,0,76471046,76471046,no data,no data,no data,no data
Splash,1984,0,69821334,69821334,no data,no data,no data,no data
Purple Rain,1984,0,68392977,68392977,no data,no data,no data,no data
Amadeus,1984,0,51564280,51564280,no data,no data,no data,no data
Tightrope,1984,0,48143579,48143579,no data,no data,no data,no data
The Natural,1984,0,47951979,47951979,no data,no data,no data,no data
Greystoke,1984,0,45858563,45858563,no data,no data,no data,no data
Revenge of the Nerds,1984,0,40874452,40874452,no data,no data,no data,no data
2010,1984,0,40400657,40400657,no data,no data,no data,no data
Breakin',1984,0,38682707,38682707,no data,no data,no data,no data
Bachelor Party,1984,0,38435947,38435947,no data,no data,no data,no data
Red Dawn,1984,0,38376497,38376497,no data,no data,no data,no data
City Heat,1984,0,38348988,38348988,no data,no data,no data,no data
All of Me,1984,0,36403064,36403064,no data,no data,no data,no data
Places in the Heart,1984,0,34901614,34901614,no data,no data,no data,no data
The Killing Fields,1984,0,34700291,34700291,no data,no data,no data,no data
Friday the 13th: The Final Chapter,1984,0,32980880,32980880,no data,no data,no data,no data
Conan the Destroyer,1984,0,31042035,31042035,no data,no data,no data,no data
Dune,1984,0,30925690,30925690,no data,no data,no data,no data
The Gods Must Be Crazy,1984,0,30031783,30031783,no data,no data,no data,no data
Starman,1984,0,28744356,28744356,no data,no data,no data,no data
The Last Starfighter,1984,0,28733290,28733290,no data,no data,no data,no data
Cannonball Run II,1984,0,28078073,28078073,no data,no data,no data,no data
Teachers,1984,0,27774237,27774237,no data,no data,no data,no data
A Passage to India,1984,0,27187653,27187653,no data,no data,no data,no data
Pinocchio,1984,0,26414038,26414038,no data,no data,no data,no data
Protocol,1984,0,26186631,26186631,no data,no data,no data,no data
Micki + Maude,1984,0,26080861,26080861,no data,no data,no data,no data
The Cotton Club,1984,0,25928721,25928721,no data,no data,no data,no data
The Muppets Take Manhattan,1984,0,25534703,25534703,no data,no data,no data,no data
A Nightmare on Elm Street,1984,0,25504513,25504513,no data,no data,no data,no data
The Woman in Red,1984,0,25308147,25308147,no data,no data,no data,no data
Moscow on the Hudson,1984,0,25068724,25068724,no data,no data,no data,no data
The Flamingo Kid,1984,0,23859382,23859382,no data,no data,no data,no data
Sixteen Candles,1984,0,23686027,23686027,no data,no data,no data,no data
The Jungle Book,1984,0,23456945,23456945,no data,no data,no data,no data
Missing in Action,1984,0,22812411,22812411,no data,no data,no data,no data
A Soldier's Story,1984,0,21821347,21821347,no data,no data,no data,no data
Against All Odds,1984,0,21689062,21689062,no data,no data,no data,no data
"Oh, God! You Devil",1984,0,21538850,21538850,no data,no data,no data,no data
Rhinestone,1984,0,21435321,21435321,no data,no data,no data,no data
Weekend Pass,1984,0,21058033,21058033,no data,no data,no data,no data
Top Secret!,1984,0,20458340,20458340,no data,no data,no data,no data
Hot Dog... The Movie,1984,0,20307325,20307325,no data,no data,no data,no data
The NeverEnding Story,1984,0,20158808,20158808,no data,no data,no data,no data
Unfaithfully Yours,1984,0,19928200,19928200,no data,no data,no data,no data
Best Defense,1984,0,19265302,19265302,no data,no data,no data,no data
Blame It on Rio,1984,0,18644570,18644570,no data,no data,no data,no data
Lassiter,1984,0,17513452,17513452,no data,no data,no data,no data
Angel,1984,0,17488564,17488564,no data,no data,no data,no data
Johnny Dangerously,1984,0,17124395,17124395,no data,no data,no data,no data
Firestarter,1984,0,17080167,17080167,no data,no data,no data,no data
Beat Street,1984,0,16595791,16595791,no data,no data,no data,no data
Breakin' 2: Electric Boogaloo,1984,0,15101131,15101131,no data,no data,no data,no data
Children of the Corn,1984,0,14568989,14568989,no data,no data,no data,no data
Night of the Comet,1984,0,14418922,14418922,no data,no data,no data,no data
Supergirl,1984,0,14296438,14296438,no data,no data,no data,no data
The Ice Pirates,1984,0,14255801,14255801,no data,no data,no data,no data
The Evil That Men Do,1984,0,13102025,13102025,no data,no data,no data,no data
Irreconcilable Differences,1984,0,12414210,12414210,no data,no data,no data,no data
Dreamscape,1984,0,12145169,12145169,no data,no data,no data,no data
Up the Creek,1984,0,11708269,11708269,no data,no data,no data,no data
The River,1984,0,11489982,11489982,no data,no data,no data,no data
Tank,1984,0,11302884,11302884,no data,no data,no data,no data
Falling in Love,1984,0,11129057,11129057,no data,no data,no data,no data
Hard to Hold,1984,0,11113806,11113806,no data,no data,no data,no data
The Wild Life,1984,0,11020375,11020375,no data,no data,no data,no data
Broadway Danny Rose,1984,0,10600497,10600497,no data,no data,no data,no data
Where the Boys Are,1984,0,10530000,10530000,no data,no data,no data,no data
Thief of Hearts,1984,0,10435015,10435015,no data,no data,no data,no data
Terror in the Aisles,1984,0,10004817,10004817,no data,no data,no data,no data
Cloak and Dagger,1984,0,9719952,9719952,no data,no data,no data,no data
Country,1984,0,9640000,9640000,no data,no data,no data,no data
Bolero,1984,0,8914881,8914881,no data,no data,no data,no data
Body Double,1984,0,8801940,8801940,no data,no data,no data,no data
Oxford Blues,1984,0,8793152,8793152,no data,no data,no data,no data
The Bounty,1984,0,8613462,8613462,no data,no data,no data,no data
1984,1984,0,8430492,8430492,no data,no data,no data,no data
Reckless,1984,0,8289916,8289916,no data,no data,no data,no data
The Philadelphia Experiment,1984,0,8103330,8103330,no data,no data,no data,no data
Streets of Fire,1984,0,8089290,8089290,no data,no data,no data,no data
Just the Way You Are,1984,0,7889694,7889694,no data,no data,no data,no data
The Little Drummer Girl,1984,0,7828841,7828841,no data,no data,no data,no data
Ninja III: The Domination,1984,0,7610785,7610785,no data,no data,no data,no data
Iceman,1984,0,7343032,7343032,no data,no data,no data,no data
Hardbodies,1984,0,7121719,7121719,no data,no data,no data,no data
Alphabet City,1984,0,7035585,7035585,no data,no data,no data,no data
The Pope of Greenwich Village,1984,0,6836201,6836201,no data,no data,no data,no data
Runaway,1984,0,6770587,6770587,no data,no data,no data,no data
Swing Shift,1984,0,6650206,6650206,no data,no data,no data,no data
The Razor's Edge,1984,0,6551987,6551987,no data,no data,no data,no data
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,0,6254148,6254148,no data,no data,no data,no data
Firstborn,1984,0,6250994,6250994,no data,no data,no data,no data
Racing with the Moon,1984,0,6045647,6045647,no data,no data,no data,no data
Sheena,1984,0,5778353,5778353,no data,no data,no data,no data
The Lonely Guy,1984,0,5718573,5718573,no data,no data,no data,no data
Meatballs Part II,1984,0,5410972,5410972,no data,no data,no data,no data
Once Upon a Time in America,1984,0,5321508,5321508,no data,no data,no data,no data
Love Letters,1984,0,5269990,5269990,no data,no data,no data,no data
The Hotel New Hampshire,1984,0,5142858,5142858,no data,no data,no data,no data
American Dreamer,1984,0,5021751,5021751,no data,no data,no data,no data
No Small Affair,1984,0,4994094,4994094,no data,no data,no data,no data
Stop Making Sense,1984,0,4949438,4949438,no data,no data,no data,no data
Harry & Son,1984,0,4864980,4864980,no data,no data,no data,no data
"Grandview, U.S.A.",1984,0,4743119,4743119,no data,no data,no data,no data
C.H.U.D.,1984,0,4654423,4654423,no data,no data,no data,no data
Making the Grade,1984,0,4561346,4561346,no data,no data,no data,no data
This Is Spinal Tap,1984,0,4491645,4491645,no data,no data,no data,no data
Joy of Sex,1984,0,4463841,4463841,no data,no data,no data,no data
Mrs. Soffel,1984,0,4385312,4385312,no data,no data,no data,no data
Until September,1984,0,4239154,4239154,no data,no data,no data,no data
Pete's Dragon,1984,0,4100000,4100000,no data,no data,no data,no data
Entre Nous,1984,0,3974975,3974975,no data,no data,no data,no data
Flashpoint,1984,0,3854833,3854833,no data,no data,no data,no data
Cheech & Chong's the Corsican Brothers,1984,0,3772785,3772785,no data,no data,no data,no data
Exterminator 2,1984,0,3739406,3739406,no data,no data,no data,no data
The Brother from Another Planet,1984,0,3677209,3677209,no data,no data,no data,no data
"Careful, He Might Hear You",1984,0,2938179,2938179,no data,no data,no data,no data
Crimes of Passion,1984,0,2912945,2912945,no data,no data,no data,no data
The Warrior and the Sorceress,1984,0,2886225,2886225,no data,no data,no data,no data
Phar Lap,1984,0,2878404,2878404,no data,no data,no data,no data
Impulse,1984,0,2773433,2773433,no data,no data,no data,no data
The Bear,1984,0,2687148,2687148,no data,no data,no data,no data
Under the Volcano,1984,0,2556800,2556800,no data,no data,no data,no data
"Silent Night, Deadly Night",1984,0,2491460,2491460,no data,no data,no data,no data
Choose Me,1984,0,2490233,2490233,no data,no data,no data,no data
Stranger Than Paradise,1984,0,2436000,2436000,no data,no data,no data,no data
A Sunday in the Country,1984,0,2411143,2411143,no data,no data,no data,no data
Electric Dreams,1984,0,2193612,2193612,no data,no data,no data,no data
"Paris, Texas",1984,0,2181987,2181987,no data,no data,no data,no data
Purple Hearts,1984,0,2075282,2075282,no data,no data,no data,no data
The Buddy System,1984,0,1820049,1820049,no data,no data,no data,no data
Body Rock,1984,0,1689501,1689501,no data,no data,no data,no data
Misunderstood,1984,0,1525532,1525532,no data,no data,no data,no data
Garbo Talks,1984,0,1493782,1493782,no data,no data,no data,no data
Finders Keepers,1984,0,1467396,1467396,no data,no data,no data,no data
Birdy,1984,0,1455045,1455045,no data,no data,no data,no data
Sahara,1984,0,1402962,1402962,no data,no data,no data,no data
Gabriela,1984,0,1318839,1318839,no data,no data,no data,no data
A Christmas Story,1984,0,1311065,1311065,no data,no data,no data,no data
The River Rat,1984,0,1142944,1142944,no data,no data,no data,no data
Mike's Murder,1984,0,1059966,1059966,no data,no data,no data,no data
Comfort and Joy,1984,0,1057368,1057368,no data,no data,no data,no data
The Bostonians,1984,0,1009700,1009700,no data,no data,no data,no data
The Power,1984,0,929162,929162,no data,no data,no data,no data
Songwriter,1984,0,865915,865915,no data,no data,no data,no data
Scandalous,1984,0,526805,526805,no data,no data,no data,no data
Windy City,1984,0,343890,343890,no data,no data,no data,no data
The Stone Boy,1984,0,261033,261033,no data,no data,no data,no data
Champions,1984,0,200498,200498,no data,no data,no data,no data
Razorback,1984,0,150140,150140,no data,no data,no data,no data
Heartbreakers,1984,0,148750,148750,no data,no data,no data,no data
Crackers,1984,0,129268,129268,no data,no data,no data,no data
Repo Man,1984,0,129000,129000,no data,no data,no data,no data
Eureka,1984,0,123572,123572,no data,no data,no data,no data
Slayground,1984,0,108128,108128,no data,no data,no data,no data
Back to the Future,1985,170500000,381109762,210609762,11378334,no data,79133,no data
Rocky IV,1985,172600000,300473716,127873716,no data,no data,no data,no data
Rambo: First Blood Part II,1985,149985000,300400432,150415432,no data,no data,no data,no data
Out of Africa,1985,140443000,227514205,87071205,107178000,6738000,24539000,no data
The Jewel of the Nile,1985,20800000,96773200,75973200,no data,no data,no data,no data
The Color Purple,1985,0,94175854,94175854,no data,no data,no data,no data
Cocoon,1985,9200000,85313124,76113124,no data,no data,no data,no data
Witness,1985,0,68706993,68706993,no data,no data,no data,no data
The Goonies,1985,0,61389680,61389680,no data,no data,no data,no data
E.T. the Extra-Terrestrial,1985,20296000,60903502,40607502,12195000,3256000,3604000,no data
Spies Like Us,1985,0,60088980,60088980,no data,no data,no data,no data
Fletch,1985,9000000,59612888,50612888,no data,no data,no data,no data
Commando,1985,22391000,57491000,35100000,no data,no data,no data,no data
Police Academy 2: Their First Assignment,1985,0,55600000,55600000,no data,no data,no data,no data
The Breakfast Club,1985,5650000,51525171,45875171,no data,no data,no data,no data
A View to a Kill,1985,0,50327960,50327960,no data,no data,no data,no data
National Lampoon's European Vacation,1985,0,49364621,49364621,no data,no data,no data,no data
Mask,1985,0,48230162,48230162,no data,no data,no data,no data
Brewster's Millions,1985,5000000,45833132,40833132,no data,no data,no data,no data
White Nights,1985,0,42160849,42160849,no data,no data,no data,no data
Pale Rider,1985,0,41410568,41410568,no data,no data,no data,no data
Pee-wee's Big Adventure,1985,0,40940662,40940662,no data,no data,no data,no data
Jagged Edge,1985,0,40491165,40491165,no data,no data,no data,no data
Weird Science,1985,15100000,38934048,23834048,no data,no data,no data,no data
St. Elmo's Fire,1985,0,37803872,37803872,no data,no data,no data,no data
Mad Max Beyond Thunderdome,1985,0,36230219,36230219,no data,no data,no data,no data
Teen Wolf,1985,0,33086611,33086611,no data,no data,no data,no data
One Hundred and One Dalmatians,1985,0,33049729,33049729,no data,no data,no data,no data
Silverado,1985,0,32192570,32192570,no data,no data,no data,no data
Murphy's Romance,1985,0,30867525,30867525,no data,no data,no data,no data
A Nightmare on Elm Street 2: Freddy's Revenge,1985,0,29999213,29999213,no data,no data,no data,no data
Desperately Seeking Susan,1985,0,27398584,27398584,no data,no data,no data,no data
Prizzi's Honor,1985,0,26657534,26657534,no data,no data,no data,no data
The Last Dragon,1985,0,25754284,25754284,no data,no data,no data,no data
Agnes of God,1985,0,25627836,25627836,no data,no data,no data,no data
Fright Night,1985,0,24922237,24922237,no data,no data,no data,no data
Summer Rental,1985,0,24689703,24689703,no data,no data,no data,no data
The Emerald Forest,1985,0,24468550,24468550,no data,no data,no data,no data
Santa Claus: The Movie,1985,0,23717291,23717291,no data,no data,no data,no data
The Care Bears Movie,1985,0,22934622,22934622,no data,no data,no data,no data
Friday the 13th: A New Beginning,1985,0,21930418,21930418,no data,no data,no data,no data
The Black Cauldron,1985,0,21288692,21288692,no data,no data,no data,no data
Porky's Revenge,1985,0,20518905,20518905,no data,no data,no data,no data
Code of Silence,1985,0,20345361,20345361,no data,no data,no data,no data
Volunteers,1985,0,19875740,19875740,no data,no data,no data,no data
Young Sherlock Holmes,1985,0,19739575,19739575,no data,no data,no data,no data
Year of the Dragon,1985,0,18707466,18707466,no data,no data,no data,no data
Ladyhawke,1985,0,18432000,18432000,no data,no data,no data,no data
The Sure Thing,1985,0,18135531,18135531,no data,no data,no data,no data
Invasion U.S.A.,1985,0,17536256,17536256,no data,no data,no data,no data
To Live and Die in L.A.,1985,0,17307019,17307019,no data,no data,no data,no data
The Falcon and the Snowman,1985,0,17130087,17130087,no data,no data,no data,no data
Kiss of the Spider Woman,1985,0,17005229,17005229,no data,no data,no data,no data
Death Wish 3,1985,0,16116878,16116878,no data,no data,no data,no data
King Solomon's Mines,1985,0,15057465,15057465,no data,no data,no data,no data
Baby: Secret of the Lost Legend,1985,0,14972297,14972297,no data,no data,no data,no data
Clue,1985,0,14643997,14643997,no data,no data,no data,no data
Remo Williams: The Adventure Begins,1985,0,14393902,14393902,no data,no data,no data,no data
The Return of the Living Dead,1985,0,14237880,14237880,no data,no data,no data,no data
A Chorus Line,1985,0,14202899,14202899,no data,no data,no data,no data
Tomboy,1985,0,14100000,14100000,no data,no data,no data,no data
Follow That Bird,1985,0,13961370,13961370,no data,no data,no data,no data
One Magic Christmas,1985,0,13677222,13677222,no data,no data,no data,no data
Cat's Eye,1985,0,13086298,13086298,no data,no data,no data,no data
Vision Quest,1985,0,12993175,12993175,no data,no data,no data,no data
Real Genius,1985,0,12952019,12952019,no data,no data,no data,no data
Perfect,1985,0,12918858,12918858,no data,no data,no data,no data
Compromising Positions,1985,0,12531831,12531831,no data,no data,no data,no data
Silver Bullet,1985,0,12361866,12361866,no data,no data,no data,no data
Enemy Mine,1985,0,12303411,12303411,no data,no data,no data,no data
Lifeforce,1985,0,11603545,11603545,no data,no data,no data,no data
Just One of the Guys,1985,0,11528900,11528900,no data,no data,no data,no data
Star Wars: Episode VI - Return of the Jedi,1985,0,11252123,11252123,no data,no data,no data,no data
Return to Oz,1985,0,11137801,11137801,no data,no data,no data,no data
Krush Groove,1985,0,11052713,11052713,no data,no data,no data,no data
Gotcha!,1985,0,10806919,10806919,no data,no data,no data,no data
Missing in Action 2: The Beginning,1985,0,10755447,10755447,no data,no data,no data,no data
The Purple Rose of Cairo,1985,0,10631333,10631333,no data,no data,no data,no data
Moving Violations,1985,0,10627754,10627754,no data,no data,no data,no data
After Hours,1985,0,10609321,10609321,no data,no data,no data,no data
American Ninja,1985,0,10499694,10499694,no data,no data,no data,no data
Better Off Dead...,1985,0,10297601,10297601,no data,no data,no data,no data
Lost in America,1985,0,10179000,10179000,no data,no data,no data,no data
Once Bitten,1985,0,10000000,10000000,no data,no data,no data,no data
Brazil,1985,0,9929135,9929135,no data,no data,no data,no data
Explorers,1985,0,9873044,9873044,no data,no data,no data,no data
The Journey of Natty Gann,1985,0,9708373,9708373,no data,no data,no data,no data
Ghostbusters,1985,0,9389135,9389135,no data,no data,no data,no data
Tuff Turf,1985,0,9369329,9369329,no data,no data,no data,no data
Sweet Dreams,1985,0,9085049,9085049,no data,no data,no data,no data
Target,1985,0,9023199,9023199,no data,no data,no data,no data
Mischief,1985,0,8692426,8692426,no data,no data,no data,no data
The Man with One Red Shoe,1985,0,8645411,8645411,no data,no data,no data,no data
That Was Then... This Is Now,1985,0,8630068,8630068,no data,no data,no data,no data
Secret Admirer,1985,0,8622757,8622757,no data,no data,no data,no data
Stick,1985,0,8489518,8489518,no data,no data,no data,no data
Twice in a Lifetime,1985,0,8402424,8402424,no data,no data,no data,no data
Fantasia,1985,0,8194726,8194726,no data,no data,no data,no data
D.A.R.Y.L.,1985,0,7840873,7840873,no data,no data,no data,no data
Runaway Train,1985,0,7683620,7683620,no data,no data,no data,no data
He-Man and She-Ra: The Secret of the Sword,1985,0,7660857,7660857,no data,no data,no data,no data
Into the Night,1985,0,7562164,7562164,no data,no data,no data,no data
The Trip to Bountiful,1985,0,7491903,7491903,no data,no data,no data,no data
Transylvania 6-5000,1985,0,7196872,7196872,no data,no data,no data,no data
Red Sonja,1985,0,6948633,6948633,no data,no data,no data,no data
Here Come the Littles,1985,0,6565359,6565359,no data,no data,no data,no data
Girls Just Want to Have Fun,1985,0,6326051,6326051,no data,no data,no data,no data
Plenty,1985,0,6148000,6148000,no data,no data,no data,no data
Rustlers' Rhapsody,1985,0,6090497,6090497,no data,no data,no data,no data
Heaven Help Us,1985,0,6070794,6070794,no data,no data,no data,no data
Gymkata,1985,0,5730596,5730596,no data,no data,no data,no data
Avenging Angel,1985,0,5622787,5622787,no data,no data,no data,no data
Creator,1985,0,5349607,5349607,no data,no data,no data,no data
King David,1985,0,5111099,5111099,no data,no data,no data,no data
Day of the Dead,1985,0,5000000,5000000,no data,no data,no data,no data
Gremlins,1985,0,4914643,4914643,no data,no data,no data,no data
Rainbow Brite and the Star Stealer,1985,0,4889971,4889971,no data,no data,no data,no data
The Company of Wolves,1985,0,4389334,4389334,no data,no data,no data,no data
The Mean Season,1985,0,4349446,4349446,no data,no data,no data,no data
That's Dancing!,1985,0,4210938,4210938,no data,no data,no data,no data
My Science Project,1985,0,4122748,4122748,no data,no data,no data,no data
Godzilla 1985,1985,0,4116395,4116395,no data,no data,no data,no data
The Heavenly Kid,1985,0,3852271,3852271,no data,no data,no data,no data
Ran,1985,0,3607393,3607393,no data,no data,no data,no data
Turk 182,1985,0,3594997,3594997,no data,no data,no data,no data
The Bride,1985,0,3558669,3558669,no data,no data,no data,no data
Starchaser: The Legend of Orin,1985,0,3360800,3360800,no data,no data,no data,no data
Fraternity Vacation,1985,0,3333306,3333306,no data,no data,no data,no data
The Legend of Billie Jean,1985,0,3099497,3099497,no data,no data,no data,no data
Rappin',1985,0,2864844,2864844,no data,no data,no data,no data
Fast Forward,1985,0,2791350,2791350,no data,no data,no data,no data
Hot Moves,1985,0,2732684,2732684,no data,no data,no data,no data
Bad Medicine,1985,0,2685453,2685453,no data,no data,no data,no data
Maxie,1985,0,2564278,2564278,no data,no data,no data,no data
A Private Function,1985,0,2527088,2527088,no data,no data,no data,no data
Marie,1985,0,2507995,2507995,no data,no data,no data,no data
Dance with a Stranger,1985,0,2174622,2174622,no data,no data,no data,no data
Blood Simple,1985,0,2150000,2150000,no data,no data,no data,no data
The Quiet Earth,1985,0,2123135,2123135,no data,no data,no data,no data
Re-Animator,1985,0,2023414,2023414,no data,no data,no data,no data
Warning Sign,1985,0,1918117,1918117,no data,no data,no data,no data
Bring on the Night,1985,0,1890571,1890571,no data,no data,no data,no data
The Slugger's Wife,1985,0,1878561,1878561,no data,no data,no data,no data
Heavenly Bodies,1985,0,1839623,1839623,no data,no data,no data,no data
American Flyers,1985,0,1420355,1420355,no data,no data,no data,no data
Certain Fury,1985,0,1381091,1381091,no data,no data,no data,no data
Gwendoline,1985,0,1337274,1337274,no data,no data,no data,no data
The Aviator,1985,0,1304192,1304192,no data,no data,no data,no data
Wetherby,1985,0,1299985,1299985,no data,no data,no data,no data
Dreamchild,1985,0,1215923,1215923,no data,no data,no data,no data
DEFCON-4,1985,0,1057064,1057064,no data,no data,no data,no data
The Protector,1985,0,981817,981817,no data,no data,no data,no data
The Hit,1985,0,876775,876775,no data,no data,no data,no data
Fool for Love,1985,0,836156,836156,no data,no data,no data,no data
Lust in the Dust,1985,0,727639,727639,no data,no data,no data,no data
Pumping Iron II: The Women,1985,0,628050,628050,no data,no data,no data,no data
Fever Pitch,1985,0,618847,618847,no data,no data,no data,no data
Code Name: Emerald,1985,0,561548,561548,no data,no data,no data,no data
Joshua Then and Now,1985,0,542420,542420,no data,no data,no data,no data
Mishima: A Life in Four Chapters,1985,65211,502758,437547,no data,no data,no data,no data
Morons from Outer Space,1985,0,441137,441137,no data,no data,no data,no data
The Holcroft Covenant,1985,0,393825,393825,no data,no data,no data,no data
Subway,1985,0,390659,390659,no data,no data,no data,no data
Sylvester,1985,0,385687,385687,no data,no data,no data,no data
Movers & Shakers,1985,0,372438,372438,no data,no data,no data,no data
Revolution,1985,0,358574,358574,no data,no data,no data,no data
Private Resort,1985,0,331816,331816,no data,no data,no data,no data
Eleni,1985,0,305102,305102,no data,no data,no data,no data
The New Kids,1985,0,199108,199108,no data,no data,no data,no data
The Bay Boy,1985,0,162364,162364,no data,no data,no data,no data
The Doctor and the Devils,1985,0,147070,147070,no data,no data,no data,no data
Petit Con,1985,0,127426,127426,no data,no data,no data,no data
Almost You,1985,0,95000,95000,no data,no data,no data,no data
Fandango,1985,0,91666,91666,no data,no data,no data,no data
Wild Geese II,1985,0,69342,69342,no data,no data,no data,no data
The Official Story,1985,0,29426,29426,no data,no data,no data,no data
Trouble in Mind,1985,0,19632,19632,no data,no data,no data,no data
Smooth Talk,1985,0,16785,16785,no data,no data,no data,no data
When Father Was Away on Business,1985,0,16131,16131,no data,no data,no data,no data
Colonel Redl,1985,0,2357,2357,no data,no data,no data,no data
Top Gun,1986,177030000,353811728,176781728,no data,no data,no data,no data
Crocodile Dundee,1986,153400000,328203506,174803506,no data,no data,no data,no data
Platoon,1986,15067,138545632,138530565,no data,no data,15067,no data
Aliens,1986,45900000,131060248,85160248,22776763,6142842,16551419,no data
The Karate Kid Part II,1986,0,115103979,115103979,no data,no data,no data,no data
Star Trek IV: The Voyage Home,1986,0,109713132,109713132,no data,no data,no data,no data
Legal Eagles,1986,43300000,93151591,49851591,no data,no data,no data,no data
Back to School,1986,0,91258000,91258000,no data,no data,no data,no data
An American Tail,1986,37059000,84542002,47483002,no data,no data,no data,no data
The Golden Child,1986,0,79817937,79817937,no data,no data,no data,no data
Ruthless People,1986,0,71624879,71624879,no data,no data,no data,no data
Ferris Bueller's Day Off,1986,576308,70712677,70136369,no data,no data,576308,no data
Down and Out in Beverly Hills,1986,0,62134225,62134225,no data,no data,no data,no data
The Fly,1986,20172594,60629159,40456565,no data,no data,no data,no data
The Money Pit,1986,17500000,54999651,37499651,no data,no data,no data,no data
The Color of Money,1986,0,52293982,52293982,no data,no data,no data,no data
Stand by Me,1986,0,52287414,52287414,no data,no data,no data,no data
Cobra,1986,0,49042224,49042224,no data,no data,no data,no data
Police Academy 3: Back in Training,1986,0,43579163,43579163,no data,no data,no data,no data
Heartbreak Ridge,1986,0,42724017,42724017,no data,no data,no data,no data
Peggy Sue Got Married,1986,0,41382841,41382841,no data,no data,no data,no data
Poltergeist II: The Other Side,1986,0,40996665,40996665,no data,no data,no data,no data
Short Circuit,1986,0,40697761,40697761,no data,no data,no data,no data
Pretty in Pink,1986,0,40471663,40471663,no data,no data,no data,no data
¡Three Amigos!,1986,0,39246734,39246734,no data,no data,no data,no data
Little Shop of Horrors,1986,0,38748395,38748395,no data,no data,no data,no data
About Last Night,1986,0,38702310,38702310,no data,no data,no data,no data
Running Scared,1986,0,38500726,38500726,no data,no data,no data,no data
Howard the Duck,1986,21667000,37962774,16295774,no data,no data,no data,no data
Gung Ho,1986,0,36611610,36611610,no data,no data,no data,no data
Hannah and Her Sisters,1986,0,35392203,35392203,no data,no data,no data,no data
Nothing in Common,1986,0,32324557,32324557,no data,no data,no data,no data
Children of a Lesser God,1986,0,31853080,31853080,no data,no data,no data,no data
Lady and the Tramp,1986,0,31129082,31129082,no data,no data,no data,no data
Jumpin' Jack Flash,1986,0,29844101,29844101,no data,no data,no data,no data
Hoosiers,1986,0,28607524,28607524,no data,no data,no data,no data
Soul Man,1986,0,27820000,27820000,no data,no data,no data,no data
Wildcats,1986,0,26285544,26285544,no data,no data,no data,no data
The Great Mouse Detective,1986,0,25336794,25336794,no data,no data,no data,no data
Heartburn,1986,0,25314189,25314189,no data,no data,no data,no data
The Morning After,1986,0,25147055,25147055,no data,no data,no data,no data
Iron Eagle,1986,0,24159872,24159872,no data,no data,no data,no data
Crimes of the Heart,1986,0,22905522,22905522,no data,no data,no data,no data
Tough Guys,1986,0,21458229,21458229,no data,no data,no data,no data
A Room with a View,1986,73673,21040317,20966644,no data,no data,73673,no data
F/X,1986,0,20603715,20603715,no data,no data,no data,no data
Friday the 13th Part VI: Jason Lives,1986,0,19472057,19472057,no data,no data,no data,no data
House,1986,0,19444631,19444631,no data,no data,no data,no data
Flight of the Navigator,1986,0,18564613,18564613,no data,no data,no data,no data
"Jo Jo Dancer, Your Life Is Calling",1986,0,18034150,18034150,no data,no data,no data,no data
The Delta Force,1986,0,17768900,17768900,no data,no data,no data,no data
Song of the South,1986,0,17659346,17659346,no data,no data,no data,no data
The Mission,1986,0,17218023,17218023,no data,no data,no data,no data
Raw Deal,1986,0,16209459,16209459,no data,no data,no data,no data
Armed and Dangerous,1986,0,15945534,15945534,no data,no data,no data,no data
Legend,1986,0,15502112,15502112,no data,no data,no data,no data
Youngblood,1986,0,15448384,15448384,no data,no data,no data,no data
Sleeping Beauty,1986,0,15120195,15120195,no data,no data,no data,no data
Psycho III,1986,0,14481606,14481606,no data,no data,no data,no data
The Mosquito Coast,1986,0,14302779,14302779,no data,no data,no data,no data
Sweet Liberty,1986,0,14205021,14205021,no data,no data,no data,no data
One Crazy Summer,1986,0,13431806,13431806,no data,no data,no data,no data
Extremities,1986,0,13418091,13418091,no data,no data,no data,no data
Critters,1986,0,13167232,13167232,no data,no data,no data,no data
