,year,All Intl,Total Gross,USA,"Europe, Middle East, and Africa",Latin America,Asia Pacific,China,USA%,"Europe, Middle East, and Africa%",Latin America%,Asia Pacific%,China%,International%
13,1990,2392487170,6919509684,4527022514,340722017,52519656,239198965,0,0.6542403610573515,0.04924077464445962,0.007590083459445304,0.034568773789434876,0.0,0.3457596389426485
14,1991,1970457653,6284403515,4313945862,101563012,0,1472320,0,0.6864527161095256,0.01616112201541215,0.0,0.00023428158241045092,0.0,0.31354728389047437
15,1992,2742005133,7394111762,4652106629,299233384,25770665,119611252,0,0.6291636884511566,0.04046914539996914,0.0034852955743029518,0.01617655451391864,0.0,0.37083631154884344
16,1993,3064898734,8000103361,4935204627,582598144,85162992,332359594,0,0.6168926080453925,0.07282382710705079,0.010645236462214254,0.041544412490997565,0.0,0.3831073919546075
17,1994,3682515333,8761764981,5079249648,465803072,30896895,121195793,0,0.5797062188970393,0.0531631552558303,0.003526332316262798,0.013832349219913411,0.0,0.4202937811029607
18,1995,4260945622,9644376459,5383430837,644281670,42811877,248782291,5752448,0.5581937681389714,0.06680386987577254,0.004439050796285388,0.02579558067414921,0.0005964561860950476,0.44180623186102863
19,1996,4356641912,10222913251,5866271339,522651765,87054059,339244500,5426788,0.5738355784664576,0.05112552089287019,0.008515582286828504,0.033184718648259615,0.0005308455492830436,0.4261644215335424
20,1997,6330078349,13001860885,6671782536,1462443892,202516158,620880688,43928666,0.5131405877213399,0.1124795831100757,0.015575936382586515,0.04775321728878812,0.0033786445177766567,0.48685941227866014
21,1998,5162192628,11738019293,6575826665,530221687,62362163,200179392,8238491,0.5602160382307015,0.045171308187932455,0.005312835278537142,0.017053932780582284,0.0007018638148697751,0.43978396176929846
22,1999,6450237481,13783445202,7333207721,889537811,77629036,325597495,24611554,0.5320300994076531,0.06453668135677186,0.005632048799289738,0.023622359303373242,0.0017855879745093646,0.4679699005923469
23,2000,6335940518,14016206833,7680266315,1279186915,145688743,528690238,6829588,0.5479561201192785,0.09126484292371173,0.010394306015589603,0.03771992267945437,0.0004872636428224147,0.4520438798807215
24,2001,8018470140,16195353010,8176882870,3349091493,442114541,1559935511,7759117,0.5048906846890644,0.2067933617088844,0.027298851758711988,0.09631994498896075,0.00047909526857543936,0.4951093153109356
25,2002,8450691050,17749655546,9298964496,4486388860,695355008,2032870034,45773462,0.5238954903604077,0.25275920698140175,0.039175690266096616,0.11453011179465511,0.0025788366360898394,0.4761045096395923
26,2003,9490633658,18642319804,9151686146,5242952688,601518176,2177422903,21006546,0.4909091916788362,0.2812392847629962,0.032266272777432714,0.11679999731218,0.0011268203861352448,0.5090908083211638
27,2004,10099931449,19230266805,9130335356,5986609472,873039806,2779500656,72419038,0.47478984293790716,0.3113118259203477,0.04539925601931866,0.1445378103270679,0.0037658883641266253,0.5252101570620928
28,2005,9757676796,18604861972,8847185176,5811340828,998988445,2447985824,93061665,0.4755308149727132,0.3123560302003836,0.05369502050074118,0.13157774713320514,0.005002007816024447,0.5244691850272868
29,2006,10608732557,19761337703,9152539426,6235719377,1063217429,2759997403,180272702,0.4631538392570731,0.31555148091282026,0.0538029077271723,0.1396665268556693,0.009122494879110968,0.5368461607429269
30,2007,12595558843,22422281626,9826730039,7249578321,1409546553,3611785885,207994945,0.43825736394307474,0.3233202776560291,0.06286365395417855,0.1610802123193348,0.009276261375596015,0.5617426360569253
31,2008,13206154635,23042782727,9836628092,7406354868,1441220307,3876979885,295630221,0.42688542475705826,0.3214175542835686,0.06254541059883682,0.1682513753192323,0.012829623249174683,0.5731145752429417
32,2009,14071399759,24918558775,10847159016,7691348286,1592962924,3835932521,356162809,0.43530442968004274,0.3086594355415324,0.06392676793162569,0.15393877935061273,0.014293074178805511,0.5646955703199572
33,2010,14615573060,24652573022,10036999962,7081118893,1852676810,4350772854,656700786,0.4071380278660148,0.2872365041442448,0.07515145816003335,0.17648351959519043,0.026638224959883865,0.5928619721339852
34,2011,16284508755,26332848376,10053658923,7737392108,2192430866,4584476464,761602329,0.38179154717508634,0.29383042797041015,0.08325840162426947,0.17409724912927893,0.028922140063439978,0.6182084528249137
35,2012,17413650213,28531175366,11117525153,7636805562,2387402093,4881073137,1268295198,0.3896623609221694,0.2676652981881924,0.08367696256373008,0.17107858594625835,0.044452960024612256,0.6103376390778306
36,2013,17583868760,28132978262,10550832032,6826830560,2365223977,4816335457,2427455659,0.3750343079122662,0.2426629166817077,0.08407300339739622,0.17119891865503478,0.08628505792715278,0.6249656920877338
37,2014,17895736198,28443865691,10548129493,6346987242,2275018738,4573716601,3034394811,0.3708402229004183,0.22314081042817846,0.07998275490099241,0.16079799597869646,0.10668011317322881,0.6291597770995817
38,2015,20973984469,32196335045,11222350576,7142672112,2516709672,5233492349,4959914152,0.3485598767783602,0.2218473656090629,0.07816758238111446,0.16254931940810283,0.1540521349733643,0.6514401232216398
39,2016,21073322134,32501927173,11428605039,6703517760,2132018203,5639014745,5395109406,0.35162853507634373,0.20624985479534105,0.06559667036516868,0.17349785798807776,0.16599352331580589,0.6483714649236563
40,2017,22346715794,33376469208,11029746901,7212422781,2320772627,5547607787,6394587294,0.3304647604353633,0.21609304255799638,0.06953319755115782,0.16621314113328364,0.19158968715801977,0.6695352395646367
41,2018,20767396537,32189659196,11422262659,6498816359,1965663795,5254813634,6003090532,0.35484260921965183,0.20189143101606885,0.061065070090715975,0.1632453951128809,0.18649127334488727,0.6451573907803482
42,2019,22598406418,34035255585,11436849756,6947494223,2063577336,5999372039,6505070311,0.3360294952813706,0.20412640080369768,0.060630581452411916,0.176269340008836,0.19112741183195084,0.6639705047186294
43,2020,1893166068,2911823220,1018588261,663648891,153515355,468067315,500831035,0.34981116092617737,0.22791524102208374,0.05272138567532956,0.1607471606741291,0.1719991212241243,0.6501888390738226
